arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,cpu_util_peak_pct,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A2,1000,rep01,2026-06-22T04:54:19+00:00,2026-06-22T04:58:23+00:00,244.0,613.0666805216053,1.6386150000000002,2446.2716520000004,2650.56724455,3252.936962,0.41559,537.7758915922491,130882,0.0,0,130882,13,1000,130882,77.43526777584212,2.3614933,0.0,100.0,76.4639677545915,2.3628147166666666,0.0,100.0,76.9496177652168,77.43526777584212,100.0,2659.5020970837277,6985.0,2.0
A2,1000,rep02,2026-06-22T05:00:31+00:00,2026-06-22T05:04:36+00:00,245.0,594.6483573726825,1.6535725000000001,2550.7576555000014,2796.6419636,3197.563492,0.414741,543.353516865708,132362,0.0,0,132362,14,1000,132362,69.12807439096702,0.0,2.2134552,100.0,76.18958635160114,0.0,2.1814820166666666,100.0,72.65883037128407,76.18958635160114,100.0,2783.0211674858497,7534.0,2.0
A2,1000,rep03,2026-06-22T05:06:44+00:00,2026-06-22T05:10:48+00:00,244.0,596.3702104716958,1.665187,2417.3624598,2640.58573995,3247.595535,0.396176,542.3389866217711,132228,0.0,0,132228,5,1000,132228,53.15840066854514,0.0,15.287198433333334,100.0,53.489730020517435,0.0,15.32951445,100.0,53.32406534453129,53.489730020517435,100.0,2658.315027855388,7643.0,2.0
A2,1000,rep04,2026-06-22T05:12:56+00:00,2026-06-22T05:17:02+00:00,246.0,600.3240581961894,1.644257,2656.986783,3190.2531259999996,3920.611958,0.397368,539.3211046188745,132071,0.0,0,132071,10,1000,132071,56.4290840391682,0.0,19.631518472357723,100.0,53.89628410295426,0.0,19.71437095907859,100.0,55.162684071061236,56.4290840391682,100.0,3184.8037918419536,6891.634146341464,2.0
A2,1000,rep05,2026-06-22T05:19:10+00:00,2026-06-22T05:23:14+00:00,244.0,595.3731416916926,1.793034,2523.9817352000005,2782.8823481,3772.565903,0.403248,542.6316106551559,132327,0.0,0,132327,8,1000,132327,77.64607929662131,0.0,23.855102233333334,100.0,73.7448566218714,0.0,24.020177033333333,100.0,75.69546795924636,77.64607929662131,100.0,2775.2142386718206,8220.0,2.0
A2,1000,rep06,2026-06-22T05:25:22+00:00,2026-06-22T05:29:27+00:00,245.0,609.7100555734074,1.685531,2465.619935,2660.9661151999994,3399.370718,0.404023,537.002583728525,131185,0.0,0,131185,14,1000,131185,72.10462503722019,0.0,28.285697766666665,100.0,77.10269397305083,0.0,28.41393975,100.0,74.60365950513551,77.10269397305083,100.0,2685.2936695294243,7276.0,2.0
A2,1000,rep07,2026-06-22T05:31:35+00:00,2026-06-22T05:35:40+00:00,245.0,604.8340967488722,1.656394,2528.918207,2815.7764635000003,3328.444026,0.412505,539.7868334321314,131511,0.0,0,131511,13,1000,131511,52.97541080080498,0.0,41.512796933333334,100.0,53.59794642398958,0.0,41.60965363333333,100.0,53.28667861239728,53.59794642398958,100.0,2815.2417922444038,7244.0,2.0
A2,1000,rep08,2026-06-22T05:37:48+00:00,2026-06-22T05:41:53+00:00,245.0,589.6819870825723,1.709276,2349.316988,2576.8174043999993,3238.82466,0.415268,544.2647210726726,132843,0.0,0,132843,13,1000,132843,54.89311576131407,0.0,45.808567466666666,100.0,53.362476942957684,0.0,45.973668483333334,100.0,54.127796352135874,54.89311576131407,100.0,2581.201713531388,6732.0,2.0
A2,1000,rep09,2026-06-22T05:44:01+00:00,2026-06-22T05:48:06+00:00,245.0,589.647818851476,1.602278,2379.0080826,2592.107117399999,3228.934438,0.407919,544.2561348085064,132849,0.0,0,132849,13,1000,132849,76.56805671909943,0.0,50.15761611666667,100.0,71.39638970122546,0.0,50.302984366666664,100.0,73.98222321016245,76.56805671909943,100.0,2591.380648823167,7710.0,2.0
A2,1000,rep10,2026-06-22T05:50:14+00:00,2026-06-22T05:54:18+00:00,244.0,604.8140808137479,1.683629,2536.603969700001,2849.04223645,3356.533926,0.412391,539.892367370603,131522,0.0,0,131522,14,1000,131522,74.80337604520959,0.0,54.459791833333334,100.0,77.50140800431105,0.0,54.70055166666667,100.0,76.15239202476032,77.50140800431105,100.0,2850.605405386407,7423.0,2.0
A2,1000,rep11,2026-06-22T05:56:26+00:00,2026-06-22T06:00:31+00:00,245.0,609.407677239373,1.771468,2505.9353545999998,2686.22858395,3034.94787,0.405356,538.1820640657813,131184,0.0,0,131184,13,1000,131184,53.1865417411174,0.0,67.54339573333333,99.9933387733351,53.21572481319504,0.0,67.72870198333334,100.0,53.20113327715622,53.21572481319504,100.0,2686.326073363363,6810.0,2.0
A2,1000,rep12,2026-06-22T06:02:39+00:00,2026-06-22T06:06:45+00:00,246.0,638.9551229662358,1.946461,3270.728418900009,4707.42193635,5177.355356,0.414443,525.1886496822528,129150,0.0009833526906697638,127,129023,13,1000,129150,76.83499198443363,0.0,72.07502375,100.0,76.11132624166429,0.0,72.3072894,99.94171523730226,76.47315911304895,76.83499198443363,100.0,4743.339280884561,8222.0,2.0
A2,1000,rep13,2026-06-22T06:08:53+00:00,2026-06-22T06:12:58+00:00,245.0,625.0951311481368,2.042963,2568.71929,2829.078559999998,3512.340763,0.427462,532.9652130061738,129899,0.0,0,129899,13,1000,129899,87.21753495854843,0.0,78.74382986666667,100.0,84.1096993202809,0.0,78.9255385,100.0,85.66361713941467,87.21753495854843,100.0,2830.3785270181766,6971.0,2.0
A2,1000,rep14,2026-06-22T06:15:06+00:00,2026-06-22T06:19:12+00:00,246.0,640.2345283330591,1.8015305,3378.201116,4018.95908075,4853.350158,0.417362,525.4000229869683,128916,0.0,0,128916,13,1000,128916,89.12970159195363,0.0,85.39510026666666,100.0,88.92999928865908,0.0,85.60998875,100.0,89.02985044030635,89.12970159195363,100.0,4038.4205331831,8246.0,2.0
A2,1000,rep15,2026-06-22T06:21:20+00:00,2026-06-22T06:25:26+00:00,246.0,636.7583594767743,2.019331,2625.222522,2861.4418265,3660.264818,0.438578,528.1946964269296,129091,0.0,0,129091,13,1000,129091,76.64137777363088,0.0,100.87496886666666,100.0,76.75204184053831,0.0,101.02821681666667,100.0,76.6967098070846,76.75204184053831,100.0,2867.6966837572368,7391.0,2.0
A2,1000,rep16,2026-06-22T06:27:34+00:00,2026-06-22T06:31:39+00:00,245.0,633.4592140592802,2.003035,2978.841487,3280.004892,4046.638244,0.421258,528.1873923421377,129381,0.0,0,129381,13,1000,129381,52.37815781490582,0.0,107.70991235,100.0,71.16252432582708,0.0,107.92711838333334,100.0,61.77034107036645,71.16252432582708,100.0,3289.9675026988016,7354.0,2.0
A2,1000,rep17,2026-06-22T06:33:47+00:00,2026-06-22T06:37:52+00:00,245.0,599.5426911620859,1.791846,2440.9537258,2607.3319787,3029.328654,0.407646,541.0369475386133,131967,0.0,0,131967,13,1000,131967,73.24985876259343,0.0,111.95146665,100.0,66.8888121398376,0.0,114.04672556666667,100.0,70.06933545121552,73.24985876259343,100.0,2619.531217443839,6764.0,2.0
A2,1000,rep18,2026-06-22T06:40:05+00:00,2026-06-22T06:44:12+00:00,247.0,605.9467131222121,1.88886,3138.6271562000006,4180.467185299999,4839.542426,0.411008,536.4792093163796,131690,0.0014275951097273902,188,131502,11,1000,131690,76.97846510239049,0.0,116.07132663333333,100.0,78.16466694975938,0.0,117.63706638333333,100.0,77.57156602607493,78.16466694975938,100.0,4179.04831325119,8164.0,2.0
A2,1000,rep19,2026-06-22T06:46:25+00:00,2026-06-22T06:50:31+00:00,246.0,593.6711208171301,1.72037,2461.5391070000005,2723.9982122999986,3158.892114,0.407018,543.8809396862039,132435,0.0,0,132435,11,1000,132435,51.263549818998094,0.0,128.85702775,100.0,51.604264958149884,0.0,130.45631263333334,100.0,51.433907388573985,51.604264958149884,100.0,2715.64087803647,7322.0,2.0
