arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,cpu_util_peak_pct,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A2,2000,rep01,2026-06-22T05:13:11+00:00,2026-06-22T05:17:19+00:00,248.0,998.0892428679421,1.339603,5381.0492624,5393.0673136000005,5651.550699,0.42483,861.5197614706121,212275,0.10249440584147922,21757,190518,18,2000,212275,53.478078870809455,0.0,4.473603416666666,99.99833336111064,57.8922206302067,0.0,4.334839816666666,100.0,55.685149750508074,57.8922206302067,100.0,5402.452099735583,16188.0,2.0
A2,2000,rep02,2026-06-22T05:19:31+00:00,2026-06-22T05:23:39+00:00,248.0,995.2934964013201,1.371783,5378.0681874,5390.991831099999,6184.34894,0.494784,862.5681913523941,212524,0.09881236942651182,21000,191524,18,2000,212524,76.10097834349642,0.0,8.836664283333333,100.0,80.18799975537617,0.0,8.697652116666667,100.0,78.14448904943629,80.18799975537617,100.0,5391.605341777378,14673.0,2.0
A2,2000,rep03,2026-06-22T05:25:50+00:00,2026-06-22T05:29:58+00:00,248.0,992.5744277429648,1.329362,5380.5232678,5392.934525199999,5732.682519,0.480727,863.7784647211923,212839,0.10465657139903871,22275,190564,18,2000,212839,77.52718486026953,0.0,13.344973016666666,99.99166666666666,69.46642428885484,0.0,13.37061045,100.0,73.49680457456219,77.52718486026953,100.0,5366.556228257896,13297.0,2.0
A2,2000,rep04,2026-06-22T05:32:12+00:00,2026-06-22T05:36:19+00:00,247.0,998.2050552844794,1.297572,5378.7994292,5390.5801734,5950.301944,0.454442,861.5963607354843,212305,0.10126468995077836,21499,190806,18,2000,212305,54.02159700883211,0.0,26.49177703333333,99.98832301866649,54.28136723696347,0.0,26.396950033333333,100.0,54.15148212289779,54.28136723696347,100.0,5404.6162823631985,15212.0,2.0
A2,2000,rep05,2026-06-22T05:38:30+00:00,2026-06-22T05:42:38+00:00,248.0,1011.5439617017971,1.394771,5377.8764382,5391.2330903,6537.985737,0.467466,855.2901389204719,210735,0.10327662704344319,21764,188971,18,2000,210735,55.27611437714127,0.0,30.884622183333335,99.36779595989925,63.983888796203324,0.0,30.823990016666666,100.0,59.63000158667229,63.983888796203324,100.0,5404.213252530601,14838.0,2.0
A2,2000,rep06,2026-06-22T05:44:48+00:00,2026-06-22T05:48:56+00:00,248.0,997.2751090116307,1.3029905,5379.6048651,5392.7514861,5854.093572,0.435112,861.8141090722361,212358,0.10130063383531583,21512,190846,19,2000,212358,79.73740499800658,0.0,35.217576783333335,100.0,80.20775203751701,0.0,35.235969983333334,99.99833211021415,79.9725785177618,80.20775203751701,100.0,5403.1449698612405,13542.0,2.0
A2,2000,rep07,2026-06-22T05:51:08+00:00,2026-06-22T05:55:15+00:00,247.0,1002.1227128487118,1.336458,5379.683431,5392.52058675,5808.140356,0.415413,859.7959919077655,211818,0.10227176160666232,21663,190155,19,2000,211818,54.230212713099,0.0,47.289420183333334,100.0,54.29333345029943,0.0,47.490472,99.99666427606451,54.26177308169922,54.29333345029943,100.0,5404.058058220196,16184.0,2.0
A2,2000,rep08,2026-06-22T05:57:25+00:00,2026-06-22T06:01:33+00:00,248.0,1008.5506496015855,1.354151,5376.979194,5390.373228,6629.945103,0.405216,856.808674457108,211101,0.10157223319643204,21442,189659,18,2000,211101,53.44262635797755,0.0,52.959866483333336,97.50536703889232,54.18056453532343,0.0,53.04436896666667,100.0,53.811595446650486,54.18056453532343,100.0,5410.2345439380915,16868.0,2.0
A2,2000,rep09,2026-06-22T06:03:44+00:00,2026-06-22T06:07:52+00:00,248.0,998.5763650753437,1.382229,5379.6941932,5392.4753188,5689.168425,0.419423,861.1504719289244,212203,0.10643110606353351,22585,189618,17,2000,212203,60.259174185559644,0.0,57.35981438333334,100.0,68.75676921800444,0.0,57.460918033333336,100.0,64.50797170178204,68.75676921800444,100.0,5401.724323779728,13582.0,2.0
A2,2000,rep10,2026-06-22T06:10:04+00:00,2026-06-22T06:14:12+00:00,248.0,998.7716754765565,1.3485795,5379.5402911,5391.2286359,5719.755792,0.465761,861.1309328371331,212188,0.10374290723320828,22013,190175,18,2000,212188,79.7666461239879,0.0,61.68800835,100.0,80.365,0.0,61.81936485,100.0,80.06582306199394,80.365,100.0,5407.002821380977,17178.0,2.0
A2,2000,rep11,2026-06-22T06:16:23+00:00,2026-06-22T06:20:31+00:00,248.0,1005.8625143712117,1.3829735,5377.8119655,5390.6623225,6819.107273,0.443265,857.2416480917027,211246,0.10002082879675828,21129,190117,19,2000,211246,56.99005904493214,0.0,74.26502973333334,99.875,54.30797051170858,0.0,74.62624881666666,100.0,55.649014778320364,56.99005904493214,100.0,5402.501883330585,16344.0,2.0
A2,2000,rep12,2026-06-22T06:22:41+00:00,2026-06-22T06:26:49+00:00,248.0,996.7794783348919,1.3334815,5378.2015126,5391.650925450001,6213.708824,0.444622,861.9311172725014,212394,0.10541258227633549,22389,190005,18,2000,212394,54.02008267519072,0.0,79.72625871666666,99.21666666666665,54.15179322435652,0.0,79.66056875,100.0,54.08593794977362,54.15179322435652,100.0,5400.663613088321,13871.0,2.0
A2,2000,rep13,2026-06-22T06:28:59+00:00,2026-06-22T06:33:07+00:00,248.0,1004.7132333712922,1.349496,5376.2641889999995,5389.6695346,6687.151128,0.478715,858.3161503135342,211613,0.10441229981144826,22095,189518,14,2000,211613,65.49325630265739,0.0,84.24813073151881,100.0,73.9069930785011,0.0,84.19962389623656,100.0,69.70012469057924,73.9069930785011,100.0,5398.717308525174,13520.959677419354,2.0
A2,2000,rep14,2026-06-22T06:35:17+00:00,2026-06-22T06:39:25+00:00,248.0,997.0190964721702,1.350947,5377.0861824,5389.670304,6129.730147,0.459877,861.6561981689562,212325,0.10232426704344755,21726,190599,18,2000,212325,80.16051548468398,0.0,88.54159501666666,100.0,80.24283975344262,0.0,88.49450485,99.99833336111064,80.2016776190633,80.24283975344262,100.0,5378.605110169928,14854.0,2.0
