arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,cpu_util_peak_pct,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A2,100,rep01,2026-06-22T00:49:38+00:00,2026-06-22T00:53:40+00:00,242.0,17.0538292187516,1.500864,52.007795,52.820993,178.176123,0.552013,85.79981713772771,20681,0,0,20681,2,100,20681,25.85262789561897,83.06025405,0.0,37.324999999999996,25.170518654140054,83.82914441666667,0.0,36.90168983601099,25.51157327487951,25.85262789561897,37.324999999999996,52.001889735468225,566.0,2.0
A2,100,rep02,2026-06-22T00:56:53+00:00,2026-06-22T01:00:54+00:00,241.0,16.896232593027754,1.504405,52.0090876,52.9030855,128.461819,0.531229,85.81854938579694,20682,0,0,20682,2,100,20682,11.251045449917088,80.52790225,0.0,33.02579331976376,9.698335110897792,81.34041011666666,0.0,32.60833333333333,10.47469028040744,11.251045449917088,33.02579331976376,52.037370324364275,525.0,2.0
A2,100,rep03,2026-06-22T01:04:04+00:00,2026-06-22T01:08:05+00:00,241.0,17.1515063696757,1.482725,51.9922302,52.852596899999995,258.285764,0.51899,85.80657806274775,20683,0,0,20683,2,100,20683,25.325477358254155,80.55225658333333,0.0,37.11335046214422,22.5842299044021,81.37091778333334,0.0,38.084602820094005,23.954853631328128,25.325477358254155,38.084602820094005,52.050494004076356,636.0,2.0
A2,100,rep04,2026-06-22T01:11:14+00:00,2026-06-22T01:15:16+00:00,242.0,17.099794736121762,1.519512,52.0189685,52.97394645,199.712305,0.600359,85.80935272129595,20680,0,0,20680,2,100,20680,9.689621762896323,78.38258326666667,0.0,33.014784230154504,9.497862254278628,78.88287566666666,0.0,31.494490128841093,9.593742008587476,9.689621762896323,33.014784230154504,52.0451477174058,577.0,2.0
A2,100,rep05,2026-06-22T01:18:25+00:00,2026-06-22T01:22:27+00:00,242.0,16.950317277799194,1.527906,52.0209154,52.96678709999999,112.111984,0.621361,85.8107259366011,20684,0,0,20684,2,100,20684,22.432699379628627,77.94641893333333,0.0,36.45954865162172,17.611145373452548,78.88997028333333,0.0,36.144778902503994,20.021922376540587,22.432699379628627,36.45954865162172,52.04247646444019,554.0,2.0
A2,100,rep06,2026-06-22T10:07:52+00:00,2026-06-22T10:11:54+00:00,242.0,16.90874209843346,1.576392,51.9585955,52.6036712,93.421139,0.529508,85.82054978203226,20684,0,0,20684,2,100,20684,19.81733222417092,0.0,0.47700528333333325,36.891666666666666,18.63861333096975,0.0,0.24752285,35.016666666666666,19.227972777570336,19.81733222417092,36.891666666666666,51.883608505780074,536.0,2.0
A2,100,rep07,2026-06-22T10:14:05+00:00,2026-06-22T10:18:07+00:00,242.0,16.58937742752877,1.50967,51.823315,52.320952,106.09859,0.516498,85.85379089505291,20691,0,0,20691,2,100,20691,24.802599239023564,0.0,1.1317405333333332,36.65,25.292554034507198,0.0,0.8759185833333333,36.51666666666666,25.04757663676538,25.292554034507198,36.65,51.73126665835472,617.0,2.0
A2,100,rep08,2026-06-22T10:20:15+00:00,2026-06-22T10:24:17+00:00,242.0,16.670949657659424,1.479987,51.7872246,52.2781624,94.386562,0.54119,85.82507925847702,20687,0,0,20687,2,100,20687,24.131225646384962,0.0,1.8104927,36.19483763530391,25.49552046818818,0.0,1.7993275,37.43850579504711,24.81337305728657,25.49552046818818,37.43850579504711,51.72476600228027,575.0,2.0
A2,100,rep09,2026-06-22T10:26:26+00:00,2026-06-22T10:30:28+00:00,242.0,16.85828159911044,1.5078575,51.8509545,52.414914950000004,145.112601,0.519587,85.81601668051245,20684,0,0,20684,2,100,20684,16.643407156301265,0.0,4.566472000000001,35.22935779816514,17.09332425370948,0.0,4.922555633333333,36.77083680752426,16.868365705005374,17.09332425370948,36.77083680752426,51.79459739222734,558.0,2.0
A2,100,rep10,2026-06-22T10:32:36+00:00,2026-06-22T10:36:38+00:00,242.0,16.630365907043142,1.519656,51.8437246,52.276898800000005,150.080302,0.556182,85.82227053430573,20687,0,0,20687,2,100,20687,18.20378852577907,0.0,5.666067716666666,35.891666666666666,17.838886612068485,0.0,5.61754315,35.83089019189765,18.021337568923776,18.20378852577907,35.891666666666666,51.72417150234621,556.0,2.0
A2,100,rep11,2026-06-22T10:38:47+00:00,2026-06-22T10:42:49+00:00,242.0,16.82557468265093,1.508981,51.841912,52.354217500000004,98.795333,0.533791,85.82036913006583,20687,0,0,20687,2,100,20687,24.96457144414683,0.0,6.364561716666667,37.05833333333333,24.933251390323782,0.0,6.3066227,36.772667455148174,24.94891141723531,24.96457144414683,37.05833333333333,51.757413315333814,524.0,2.0
A2,100,rep12,2026-06-22T10:44:57+00:00,2026-06-22T10:48:59+00:00,242.0,16.931843652661566,1.520727,51.8754672,52.419001699999995,105.196173,0.526409,85.80479205588314,20683,0,0,20683,2,100,20683,25.375621711028323,0.0,7.051175083333334,36.19226987116452,25.757375407295246,0.0,7.125623516666667,37.13143428285857,25.566498559161786,25.757375407295246,37.13143428285857,51.762204511752294,492.0,2.0
A2,100,rep13,2026-06-22T10:51:08+00:00,2026-06-22T10:55:10+00:00,242.0,16.587674421390815,1.494422,51.830298,52.3525495,92.74835,0.563736,85.83916353301277,20691,0,0,20691,2,100,20691,16.82959061892867,0.0,9.770100383333334,36.60833333333333,16.82364657487738,0.0,10.126755683333334,36.3,16.826618596903025,16.82959061892867,36.60833333333333,51.76377166930564,649.0,2.0
A2,100,rep14,2026-06-22T10:57:19+00:00,2026-06-22T11:01:21+00:00,242.0,16.80399075953409,1.478026,51.7955912,52.300097199999996,118.841433,0.554809,85.82771712081565,20689,0,0,20689,2,100,20689,17.03426327495135,0.0,11.00454795,35.58333333333333,17.848416332001836,0.0,11.03302525,36.95833333333333,17.441339803476595,17.848416332001836,36.95833333333333,51.7454400829408,576.0,2.0
A2,100,rep15,2026-06-22T11:03:30+00:00,2026-06-22T11:07:31+00:00,241.0,16.73749385889704,1.526691,51.851001399999994,52.3174786,109.799801,0.552547,85.8383353945515,20687,0,0,20687,2,100,20687,23.37635046491738,0.0,11.62442985,36.41666666666667,23.490673278334707,0.0,11.812442883333333,35.90833333333333,23.433511871626045,23.490673278334707,36.41666666666667,51.73620050856513,584.0,2.0
A2,100,rep16,2026-06-22T11:09:40+00:00,2026-06-22T11:13:42+00:00,242.0,16.89303626781398,1.5189525000000001,51.837971499999995,52.288392,159.381406,0.570862,85.82907830863925,20686,0,0,20686,2,100,20686,25.241942721684534,0.0,12.33367745,36.125,26.151528673632832,0.0,12.514241566666668,37.63333333333334,25.69673569765868,26.151528673632832,37.63333333333334,51.736311942426624,536.0,2.0
A2,100,rep17,2026-06-22T11:15:51+00:00,2026-06-22T11:19:52+00:00,241.0,16.12323209049185,1.458645,51.761141200000004,52.248937149999996,118.176288,0.511538,85.8891353205563,20698,0,0,20698,2,100,20698,19.614226785460534,0.0,13.3185065,36.39699749791493,20.496552014642134,0.0,13.898936733333333,36.125794133831356,20.055389400051332,20.496552014642134,36.39699749791493,51.711043025847474,527.0,2.0
A2,100,rep18,2026-06-22T11:22:02+00:00,2026-06-22T11:26:04+00:00,242.0,16.78823452953967,1.494841,51.8310411,52.3216337,113.802247,0.545521,85.80806337157313,20684,0,0,20684,2,100,20684,17.010032392031214,0.0,16.201125016666666,36.56059016502639,17.018625757208945,0.0,16.48621225,35.69227181101837,17.01432907462008,17.018625757208945,36.56059016502639,51.77073462116471,658.0,2.0
A2,100,rep19,2026-06-22T11:28:13+00:00,2026-06-22T11:32:14+00:00,241.0,16.779890713754163,1.5285009999999999,51.863677200000005,52.37645375,114.548051,0.567441,85.84221094749542,20692,0,0,20692,2,100,20692,21.88795725784069,0.0,16.87518725,36.35,21.824781174343027,0.0,17.19718525,37.048759766113044,21.856369216091856,21.88795725784069,37.048759766113044,51.75282186611961,616.0,2.0
A2,100,rep20,2026-06-22T11:34:23+00:00,2026-06-22T11:38:25+00:00,242.0,16.5522215732167,1.5064585,51.851355500000004,52.30109905,135.392557,0.564374,85.86839955520252,20692,0,0,20692,1,100,20692,25.015194606616625,0.0,17.557084466666666,36.23333333333333,25.18078420641468,0.0,17.891737283333335,37.326866343317164,25.09798940651565,25.18078420641468,37.326866343317164,51.74390267012909,692.0,2.0
A2,100,rep21,2026-06-22T11:40:34+00:00,2026-06-22T11:44:35+00:00,241.0,16.632396577504885,1.50743,51.834287,52.2814356,150.146623,0.569673,85.84313986281225,20689,0,0,20689,2,100,20689,21.898193314717577,0.0,18.374889666666668,35.516666666666666,23.282731401452168,0.0,19.00701785,36.94223971186553,22.59046235808487,23.282731401452168,36.94223971186553,51.714217941413985,550.0,2.0
