arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct,cpu_credit_balance,cpu_surplus_credit,cpu_util_peak_pct,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A1,100,rep11,2026-06-12T10:18:30+00:00,2026-06-12T10:22:32+00:00,242.0,15.956912803149562,0.661658,51.281392,52.21642,108.564674,0.282302,85.88446019444518,20701,0.0,0,20701,2,100,20701,41.490970373336005,113.46657481666666,0.0,60.94651853334668,,,,,,,,,,,,,
A1,100,rep12,2026-06-12T10:47:35+00:00,2026-06-12T10:51:37+00:00,242.0,16.16101034182044,0.6487915,51.2135261,52.22178354999999,75.859391,0.26209,85.88786043840089,20698,0.0,0,20698,1,100,20698,30.15995806206603,113.8427287,0.0,61.2,,,,,,,,,,,,,
A1,100,rep13,2026-06-12T11:16:40+00:00,2026-06-12T11:20:42+00:00,242.0,15.925696565887298,0.6430875,51.1957925,52.23118125,102.300792,0.281647,85.90181597285287,20702,0.0,0,20702,2,100,20702,18.63674834231615,114.5241073,0.0,59.67030222296228,,,,,,,,,,,,,
A1,100,rep14,2026-06-12T11:45:45+00:00,2026-06-12T11:49:46+00:00,241.0,16.133982240073305,0.633162,51.268775600000005,52.261031,129.882136,0.270976,85.89341115087883,20702,0.0,0,20702,2,100,20702,36.62649903913497,119.47711685,0.0,62.6,,,,,,,,,,,,,
A1,100,rep15,2026-06-12T12:11:27+00:00,2026-06-12T12:15:29+00:00,242.0,16.091958002463404,0.6419,51.4145776,52.3563461,87.614542,0.252793,85.89652251931899,20703,0.0,0,20703,2,100,20703,16.075981299528188,116.7313197,0.0,61.19674373602909,,,,,,,,,,,,,
A1,100,rep16,2026-06-15T21:51:12+00:00,2026-06-15T21:55:14+00:00,242.0,16.665067943104365,0.489671,52.3414872,54.0559512,125.334953,0.194479,85.82522001457782,20687,0.0,0,20687,2,100,20687,8.006656758422007,100.36292468333332,0.0,39.79166666666666,,,,,,,,,,,,,
A1,100,rep17,2026-06-15T22:20:17+00:00,2026-06-15T22:24:19+00:00,242.0,16.60130829800913,0.4833655,52.2062954,53.84307229999999,115.020034,0.189717,85.85091446015365,20694,0.0,0,20694,2,100,20694,45.01614318519397,105.23111243333334,0.0,63.76666666666667,,,,,,,,,,,,,
A1,100,rep18,2026-06-15T22:49:22+00:00,2026-06-15T22:53:24+00:00,242.0,16.6675371000096,0.476554,52.2701313,53.96338164999999,127.356524,0.180841,85.823895146549,20688,0.0,0,20688,2,100,20688,44.34423885080314,105.96130536666666,0.0,63.32394460092331,,,,,,,,,,,,,
A1,100,rep19,2026-06-15T23:18:26+00:00,2026-06-15T23:22:28+00:00,242.0,16.322643664202072,0.46874,52.1153425,53.68562835,149.568413,0.17972,85.8489806538211,20694,0.0,0,20694,2,100,20694,35.6104522524045,106.30503968333332,0.0,63.32394460092331,,,,,,,,,,,,,
A1,100,rep20,2026-06-15T23:47:31+00:00,2026-06-15T23:51:33+00:00,242.0,16.323005718185133,0.468872,52.2731762,54.01976919999999,134.236031,0.180743,85.87410776744672,20698,0.0,0,20698,2,100,20698,23.818330569442526,106.65316041666668,0.0,61.89166666666666,,,,,,,,,,,,,
