carga_vus,arquitetura,metrica,coluna,metodo_ic,n,media,ic95
2000,A1,Taxa de erro (fração),taxa_erro,t-student,30,0.2273,0.0005
2000,A1,CPU média (%),cpu_util_pct,t-student,30,44.8245,3.745
2000,A1,CPU pico (%),cpu_util_peak_pct,t-student,30,76.9288,0.5899
2000,A1,CPUCreditBalance,cpu_credit_balance,t-student,30,77.3082,11.5501
2000,A2,Latência P95 (ms),lat_p95_ms,bootstrap,30,5392.3711,0.562
2000,A2,Latência P90 (ms),lat_p90_ms,t-student,30,5379.4738,0.7086
2000,A2,Latência média (ms),lat_avg_ms,t-student,30,999.9164,1.5078
2000,A2,Latência mediana (ms),lat_med_ms,t-student,30,1.3285,0.0124
2000,A2,Throughput (req/s),throughput_rps,t-student,30,860.5243,0.6707
2000,A2,Taxa de erro (fração),taxa_erro,t-student,30,0.1023,0.0009
2000,A2,CPU média (%),cpu_util_pct,t-student,30,64.6547,4.106
2000,A2,CPU pico (%),cpu_util_peak_pct,t-student,30,99.9981,0.0029
2000,A2,CPUCreditBalance,cpu_credit_balance,t-student,30,0.0,0.0
2000,A2,"Latência de backend (ALB, ms)",alb_target_response_time_p95_ms,t-student,30,5396.7526,4.9334
2000,A2,Conexões ativas (ALB),alb_active_connections,t-student,30,14828.8144,480.5891
2000,A2,Hosts saudáveis (ALB),alb_healthy_host_count,t-student,30,2.0,0.0
